시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,대표품목,홈페이지주소,사용가능상품권,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
원종중앙시장,상설장,경기도 부천시 오정구 성오로124번길 47,경기도 부천시 오정구 원종동 209-5,매일,37.52507056,126.8023099,58.0,"호남상회, 하얀쌀직판장, 태평선식, 충청떡집",,,Y,Y,1970.0,032-678-2787,2025-11-10,B553077,소상공인시장진흥공단
개금큰시장,상설장,부산광역시 부산진구 엄광로 15,부산광역시 부산진구 개금동 615-16,매일,35.14851071,129.0178858,49.0,"풍금식당, 송가네식당, 세운보리밥, 사천횟집",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
당감골목시장,상설장,부산광역시 부산진구 당감로16번길 33,부산광역시 부산진구 당감동 262-77,매일,35.16354772,129.0414277,109.0,"호야네김밥, 혜원떡방, 협농식품, 푸줏간 축산",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
당감새시장,상설장,부산광역시 부산진구 백양대로 60번길 64,부산광역시 부산진구 당감동 292-118,매일,35.16505858,129.0421458,130.0,"희야야채, 해송건어물, 합천국밥, 한양떡집",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
국제상가시장,상설장,부산광역시 부산진구 백양관문로 104-1,부산광역시 부산진구 당감동 791,매일,35.16843795,129.0282049,100.0,"아이스 국제백양점, 한양스토아백양, 크린토피아 부산국제백양점",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
동평새시장,상설장,부산광역시 부산진구 백양순환로164번길 15,부산광역시 부산진구 당감동 315-4,매일,35.16662939,129.0409121,59.0,"팔복식당, 청도떡방, 월드유통, 신풍상회",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
부산평화시장,상설장,부산광역시 부산진구 자유평화로 7,부산광역시 부산진구 범천동 839-212,매일,35.14169298,129.0606731,930.0,"흑가, 황금키, 황금자리, 황금알",,,Y,Y,1970.0,051-646-6561,2025-11-10,B553077,소상공인시장진흥공단
철뚝시장,상설장,부산광역시 부산진구 자유평화로3번길 14-15,부산광역시 부산진구 범천동 839-36,매일,35.14221852,129.061564,82.0,"하동상회, 평화식품, 칠성떡방앗간, 중앙상회",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
골드테마거리시장,상설장,부산광역시 부산진구 범일로 134 중앙빌딩,부산광역시 부산진구 법천1동 836-1,매일,35.14193347,129.0597796,335.0,"평화떡방, 조방돼지국밥, 강원도산골칼국수, 화이트",,,Y,Y,1970.0,051-633-3274,2025-11-10,B553077,소상공인시장진흥공단
부전시장,상설장,부산광역시 부산진구 중앙대로 783번길 23,부산광역시 부산진구 부전동 573-3,매일,35.16323429,129.0609058,342.0,"홍재식품, 호성농수산, 행복한두평, 해인베이커리",,,Y,Y,1970.0,051-818-1091,2025-11-10,B553077,소상공인시장진흥공단
서면종합시장,상설장,부산광역시 부산진구 부전로 162번길 28,부산광역시 부산진구 부전동 347-40,매일,35.16191688,129.0589776,219.0,"형제바나나, 함양상회, 한양상회, 하늘청과",,,Y,Y,1970.0,051-809-7816,2025-11-10,B553077,소상공인시장진흥공단
부전인삼시장,상설장,부산광역시 부산진구 중앙대로783번길 23 (부전시장),부산광역시 부산진구 부전동 573-3,매일,35.16323429,129.0609058,61.0,"황금인삼, 형제인삼, 한국인삼, 풍년인삼(강화인삼)",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
부전상가시장,상설장,부산광역시 부산진구 중앙대로 755번길 21,부산광역시 부산진구 부전동 265-25,매일,35.16034809,129.0595526,650.0,"흰돌상회, 흥부식육점, 흥국상회, 황천상회",,,Y,Y,1970.0,051-818-9424,2025-11-10,B553077,소상공인시장진흥공단
부전농수산물새벽시장,상설장,부산광역시 부산진구 부전로 156,부산광역시 부산진구 부전동 347-1,매일,35.16224371,129.0583055,265.0,"희정상회, 황씨상회, 홍재식품, 혜주상회",,,Y,Y,1970.0,051-802-8251,2025-11-10,B553077,소상공인시장진흥공단
부산전자종합시장,상설장,부산광역시 부산진구 부전로 196,부산광역시 부산진구 부전동 27-1,매일,35.16375165,129.0624353,136.0,"황소전자, 혼수품전자, 현대종합전자, 현대전자",,,Y,Y,1970.0,051-809-0863,2025-11-10,B553077,소상공인시장진흥공단
서면시장,상설장,부산광역시 부산진구 서면로 56,부산광역시 부산진구 부전동 256-6,매일,35.15565904,129.0581395,218.0,"허니퀸 서면점, 큰손김밥, 연지상회, 서면식육점",,,Y,Y,1970.0,051-806-5025,2025-11-10,B553077,소상공인시장진흥공단
부전기장골목시장,상설장,부산광역시 부산진구 중앙대로775번길 21,부산광역시 부산진구 부전동 341-70,매일,35.16220291,129.0612344,61.0,"합성상회, 푸른유통, 태옥상회, 청송민물상회",,,Y,Y,1970.0,051-808-9117,2025-11-10,B553077,소상공인시장진흥공단
양정시장,상설장,부산광역시 부산진구 동평로420번길 18,부산광역시 부산진구 양정동 390,매일,35.17278081,129.0697876,122.0,"하늘농원, 플렉스데코, 진아꽃집, 엘지건축",,,Y,Y,1970.0,051-852-3465,2025-11-10,B553077,소상공인시장진흥공단
양정전통시장,상설장,부산광역시 부산진구 동평로 410,부산광역시 부산진구 양정동 370-1,매일,35.17359419,129.069435,32.0,"전통음식점 원양, 이동과일, 온천식당, 양정횟집",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
연지시장,상설장,부산광역시 부산진구 연지로14,부산광역시 부산진구 연지동 190-40,매일,35.17090389,129.0513996,80.0,"흥원상회, 황실떡가, 한결축산, 제일통닭",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
전포놀이터시장,상설장,부산광역시 부산진구 서전로67번길 20,부산광역시 부산진구 전포동 198-11,매일,35.15872913,129.0673027,58.0,"팔팔쌀집, 티제이축산, 태진축산물마트, 천일식육점",,,Y,Y,1970.0,051-818-2212,2025-11-10,B553077,소상공인시장진흥공단
성곡종합시장,상설장,부산광역시 부산진구 새싹로 207-6,부산광역시 부산진구 초읍동 271-6,매일,35.17478551,129.0480782,59.0,"청도소머리국밥, 신일상회, 가마치통닭 초읍성곡, 유혜정헤어",,,Y,Y,1970.0,051-807-6773,2025-11-10,B553077,소상공인시장진흥공단
남광시장,상설장,부산광역시 남구 홍곡로 359,부산광역시 남구 대연동 1169-1,매일,35.12399327,129.0887175,48.0,"형제식품, 창녕상회, 진양상회, 지리산상회",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
못골골목시장,상설장,부산광역시 남구 못골로 66-1,부산광역시 남구 대연동 1416-23,매일,35.13586205,129.0896296,147.0,"훈이네과일, 형제상회, 해남쌀직매장, 태성건어물",,,Y,Y,1970.0,070-8808-3203,2025-11-10,B553077,소상공인시장진흥공단
대연시장,상설장,부산광역시 남구 못골로 56,부산광역시 남구 대연동 1760-1,매일,35.13567567,129.0884182,81.0,"훈훈한 수제어묵, 칼국수(노점), 문정식품, 못골과일야채",,,Y,Y,1970.0,051-621-8991,2025-11-10,B553077,소상공인시장진흥공단
용호골목시장,상설장,부산광역시 남구 용호로 177번길5,부산광역시 남구 용호동 494-19,매일,35.11640599,129.1114621,116.0,"효수제청, 행복한맛집, 해금수산, 한우잔치",,,Y,Y,1970.0,051-623-7694,2025-11-10,B553077,소상공인시장진흥공단
용호삼성시장,상설장,부산광역시 남구 용호로 106번길 40,부산광역시 남구 용호동 128-1,매일,35.12389935,129.1105368,25.0,"현금한돈, 손이가네건어물, 용호상회, 성미당",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
용호시장,상설장,부산광역시 남구 동명로 152번길 93,부산광역시 남구 용호동 516-10,매일,35.11491426,129.1127725,54.0,"화덕에 담은 바다, 한솔마트 용호점, 프랑스과자점, 청도상회",,,Y,Y,1970.0,051-623-3818,2025-11-10,B553077,소상공인시장진흥공단
용호1동골목시장,상설장,부산광역시 남구 용호로106번길 56,부산광역시 남구 용호동 215-14,매일,35.1243582,129.1102038,136.0,"현대떡방앗간, 한국축산, 하은이네반찬 가게, 페페스베이커리",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
우암골목시장,상설장,부산광역시 남구 장고개로 9-1,부산광역시 남구 우암동 226-17,매일,35.12618059,129.0709109,114.0,"우암식육점, 우암슈퍼, 상상매트부산",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
성북시장,상설장,,부산광역시 동구 범일동 1430-6,매일,35.13855921,129.0481765273,108.0,"풍년상회, 제일반점, 전주보리밥, 용성상회",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
부산자유시장,상설장,부산광역시 동구 조방로 48,부산광역시 동구 범일동 830-24,매일,35.14096583,129.0610388,1483.0,"호림상회, 현대식품, 천지상사, 소담김밥",,,Y,Y,1970.0,051-632-8785,2025-11-10,B553077,소상공인시장진흥공단
부산남문시장,상설장,부산광역시 동구 범일로65번길 8,부산광역시 동구 범일동 290-3,매일,35.13592329,129.0586847,196.0,"화수분, 혜원한복, 혜림주단, 행복주단",,,Y,Y,1970.0,051-645-9691,2025-11-10,B553077,소상공인시장진흥공단
부산진시장,상설장,부산광역시 동구 진시장로 24,부산광역시 동구 범일동 290-1,매일,35.13642531,129.0588399,1050.0,"한상폐백, 농촌총각, 희정상회, 희망",,,Y,Y,1970.0,051-646-7043,2025-11-10,B553077,소상공인시장진흥공단
범일골목시장,상설장,부산광역시 동구 범곡북로 11,부산광역시 동구 범일동 1307-9,매일,35.14161538,129.0544611,75.0,"영서식당, 아그집, 생선가게, 브레드포럼",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
수정시장,상설장,부산광역시 동구 고관로 106,부산광역시 동구 수정동 170-1,매일,35.12823716,129.0463919,60.0,"창녕식당, 찬돌이네 떡갈비, 윤원 쌀집, 동해횟집",,,Y,Y,1970.0,051-468-6176,2025-11-10,B553077,소상공인시장진흥공단
수정전통시장,상설장,부산광역시 동구 진성로21번길,,매일,37.5,127.0,112.0,"황금상회, 해풍횟집, 함지박, 한톨상회",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
초량상가시장,상설장,부산광역시 동구 초량로 15,부산광역시 동구 초량동 200,매일,35.11890115,129.0399838,99.0,"초량식당, 몽순이집, 남해횟집",,,Y,Y,1970.0,051-463-3305,2025-11-10,B553077,소상공인시장진흥공단
초량전통시장,상설장,부산광역시 동구 초량로13번길 24,부산광역시 동구 초량동 308-1,매일,35.11804138,129.0396662,90.0,"호연만두, 튀김(순대), 충무꼭지횟집, 총각야채가게",,,Y,Y,1970.0,051-442-5445,2025-11-10,B553077,소상공인시장진흥공단
명장시장,상설장,부산광역시 동래구 명장로64번길 12,부산광역시 동래구 명장동 145-9,매일,35.20403146,129.1074706,32.0,"진주상회, 정동진횟집, 용운횟집, 명장청과물",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
원종종합시장,상설장,경기도 부천시 오정구 삼작로 394,경기도 부천시 오정구 원종동 372-1,매일,37.51974201,126.8055478,51.0,"현진축산할인매장, 한일정육점, 태양청과, 충남상회",,,Y,Y,1970.0,032-681-0985,2025-11-10,B553077,소상공인시장진흥공단
국민시장,상설장,부산광역시 동래구 사직북로33번길 31,부산광역시 동래구 사직동 44-1,매일,35.19840108,129.0582405,78.0,"흥아떡방앗간, 행운떡, 합천농산물청과(시골향기), 통통과일",,,Y,Y,1970.0,051-501-4122,2025-11-10,B553077,소상공인시장진흥공단
수안인정시장,상설장,부산광역시 동래구 충렬대로245번길 8,부산광역시 동래구 수안동 275-2,매일,35.20149174,129.0865781,160.0,"희망통닭, 황가네 부산어묵, 핫도그아재, 핫도그 아재",,,Y,Y,1970.0,051-555-0073,2025-11-10,B553077,소상공인시장진흥공단
서원시장,상설장,부산광역시 동래구 충렬대로359번길 55,부산광역시 동래구 안락동 425-51,매일,35.20039365,129.0990109,45.0,"할매칼국수, 한바다횟집, 태광상회, 안락통닭",,,Y,Y,1970.0,051-523-4426,2025-11-10,B553077,소상공인시장진흥공단
안락상가시장,상설장,부산광역시 동래구 충렬대로410번길 21,부산광역시 동래구 안락동 603-1,매일,35.19547988,129.1033085,59.0,"창대식품, 착한산곰장어, 안락시장떡집, 소문난이모네 과일야채장터",,,Y,Y,1970.0,051-523-6587,2025-11-10,B553077,소상공인시장진흥공단
충렬상가시장,상설장,부산광역시 동래구 충렬대로459번길 73-10,부산광역시 동래구 안락동 464-21,매일,35.19809586,129.1099534,27.0,"하동상회, 충렬시장횟집, 충렬생선, 알찬농산",,,Y,Y,1970.0,051-522-6868,2025-11-10,B553077,소상공인시장진흥공단
민락어패류시장,상설장,부산광역시 수영구 광안해변로 278,부산광역시 수영구 민락동 181-8,매일,35.1556955,129.1243612,47.0,"포항상회, 연희횟집, 남해상회, 홍도상회",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
중앙메가프라자시장,상설장,대전광역시 동구 중앙로 200번길 99,대전광역시 동구 원동 42-1,매일,36.3267328,127.4339543,154.0,"협성사, 현대서적, 한아름직물, 한빛안감",,,Y,Y,1970.0,042-253-1550,2025-11-10,B553077,소상공인시장진흥공단
전통중앙도매상가시장,상설장,대전광역시 동구 대전로 786,대전광역시 동구 원동 20-49,매일,36.32983375,127.4337042,141.0,"황해상회, 홍가네풀빵집, 하늘이네, 코끼리왕만두",,,Y,Y,1970.0,042-226-4958,2025-11-10,B553077,소상공인시장진흥공단
정원시장,상설장,대전광역시 동구 중앙로 194번길 33,대전광역시 동구 원동 64-1,매일,36.32911119,127.4316621,91.0,"황기순칼국수&왕돈까스 중앙분식, 해뜨는 집, 해동건어물, 해녀와어부",,,Y,Y,1970.0,042-233-9188,2025-11-10,B553077,소상공인시장진흥공단
대전상가시장,상설장,대전광역시 동구 충무로 185,대전광역시 동구 인동 52-1,매일,36.32178451,127.4366553,63.0,"자연촌푸드, 인흥해장국식당, 마씨네야채, 한일미곡",,,Y,Y,1970.0,042-284-6562,2025-11-10,B553077,소상공인시장진흥공단
인동시장,상설장,대전광역시 동구 대전천동로 452,대전광역시 동구 인동 30-2,매일,36.3225352,127.4359133,48.0,"한일상회, 한밭명가추어탕, 충청농산, 주식회사 대한농산",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
대전도매시장,상설장,대전광역시 동구 대전로 785번길,,매일,37.5,127.0,41.0,"화진사, 화신상회, 털실댁, 카라",,,Y,Y,1970.0,042-257-2410,2025-11-10,B553077,소상공인시장진흥공단
중앙상가시장,상설장,대전광역시 동구 대전로791번길 38,대전광역시 동구 중동 28-45,매일,36.32961777,127.4311303,199.0,"흥미냉면, 함경도집, 태평식당, 최차이나",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
한민시장,상설장,대전광역시 서구 도솔로308번길 27,대전광역시 서구 괴정동 88-34,매일,36.33461781,127.3840015,232.0,"홍두깨칼국수랑건어물, 호진이네, 형제축산, 형제수산",,,Y,Y,1970.0,042-522-9094,2025-11-10,B553077,소상공인시장진흥공단
산본시장,상설장,경기도 군포시 산본천로183번길 6,경기도 군포시 산본동 251-4,매일,37.37016452,126.938529,146.0,"회풍본점, 활어촌, 형제상회, 현대떡집",,,Y,Y,1970.0,031-399-4248,2025-11-10,B553077,소상공인시장진흥공단
송강전통시장,상설장,대전광역시 유성구 구즉로 74-7,대전광역시 유성구 송강동 49-10,매일,36.43519975,127.386613,57.0,"호야네 젓갈, 해진건어물, 풍년상회, 풍년떡집",,,Y,Y,1970.0,042-932-3113,2025-11-10,B553077,소상공인시장진흥공단
강남시장,상설장,경기도 부천시 원미구 옥산로154번길 21,경기도 부천시 원미구 도당동 274-54,매일,37.50749709,126.7814665,113.0,"황금돼지, 화개장터, 호남식당, 형제수산",,,Y,Y,1970.0,032-676-8000,2025-11-10,B553077,소상공인시장진흥공단
오류전통시장,상설장,대전광역시 중구 계룡로882번길 72,대전광역시 중구 오류동 162-13,매일,36.32194898,127.407958,43.0,"행복한분식, 행복한맛집, 쿠쿠쌀집, 친환경팔도",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
명지시장,상설장,부산광역시 강서구 신포길 17번길 27,부산광역시 강서구 명지동 1-377,매일,35.11253967,128.931598,106.0,"형제수산, 한바다횟집, 하구언횟집, 진주횟집",,,Y,Y,1970.0,051-271-2234,2025-11-10,B553077,소상공인시장진흥공단
구서오시게시장,상설장,부산광역시 금정구 구서로12,부산광역시 금정구 구서동 87-9,매일,35.24734164,129.089741,95.0,"한나상회, 통영수산, 충무생선, 최가네 소머리국밥",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
금사제일상가시장,상설장,부산광역시 금정구 개좌로81,부산광역시 금정구 금사동 68-14,매일,35.22045187,129.1125513,41.0,"킹마트, 늘푸른 상회, 삼양할인마트, 대성식육점",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
서동전통골목시장,상설장,부산광역시 금정구 서동로 143,부산광역시 금정구 서동 340-27,매일,35.21527847,129.1022491,177.0,"화영상사, 항도횟집, 하이밀제과, 하동야채",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
서동향토시장,상설장,부산광역시 금정구 서부로 21-1,부산광역시 금정구 서동 194-1,매일,35.21593515,129.1033531,159.0,"호호생선, 호호생선, 해왕건어물, 하동상회(과일집)",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
장성시장,상설장,부산광역시 금정구 수림로61번길 53,부산광역시 금정구 장전동 155-17,매일,35.23744721,129.0855549,22.0,"금정떡마을, 버들로스터리",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
장전상가시장,상설장,부산광역시 금정구 부산대학로49번길 13,부산광역시 금정구 장전동 421-7,매일,35.23085024,129.0861108,55.0,"터줏집, 진주식당, 진주비봉식당, 장전돼지국밥",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
원미종합시장,상설장,경기도 부천시 원미구 조종로49번길 21-3,경기도 부천시 원미구 원미동 97-12,매일,37.49368572,126.79018,108.0,"회바라기, 황제찹쌀꽈배기, 황기순의홍두깨손칼국수, 화성농장야채",,,Y,Y,1970.0,032-655-6682,2025-11-10,B553077,소상공인시장진흥공단
태백시장,상설장,,대구광역시 수성구 수성동2가 39-4,매일,35.85519908,128.6167578,46.0,"형진식당, 형진식당, 태백상회, 청송과일",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
신매시장,상설장,대구광역시 수성구 신매로16길 24-4,대구광역시 수성구 신매동 576-2,매일,35.83727706,128.70972,180.0,"효목건어물 백화점, 호식이두마리치킨시지1호점, 학구정떡갈비, 풍국쌀",,,Y,Y,1970.0,053-792-7924,2025-11-10,B553077,소상공인시장진흥공단
황금시장,상설장,대구광역시 수성구 청솔로 19,대구광역시 수성구 황금동 746,매일,35.84839977,128.6199562,13.0,"황금상회, 일공축산, 성재치킨, 황금식자재마트",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
염매시장,상설장,대구광역시 중구 종로 11-9,대구광역시 중구 계산동2가 252,매일,35.86686144,128.5916753,69.0,"현대식육식당, 현대떡집, 한미명가떡집, 팔도해물종합상사",,,Y,Y,1970.0,053-252-3831,2025-11-10,B553077,소상공인시장진흥공단
교동시장,상설장,대구광역시 중구 교동길 40 (교동시장),대구광역시 중구 교동 67-12,매일,35.8732548,128.5967856,129.0,"이가네 교동한식뷔페, 우리웰빙만두, 서울순대, 독도회집",,,Y,Y,1970.0,053-427-0443,2025-11-10,B553077,소상공인시장진흥공단
방천시장,상설장,대구광역시 중구 달구벌대로450길16-3,대구광역시 중구 대봉동 4-9,매일,35.86113952,128.6072142,68.0,"홍콩할매닭발명가 김광석점, 크레이지타코, 카레탄토, 청도동곡막걸리",,,Y,Y,1970.0,053-256-6000,2025-11-10,B553077,소상공인시장진흥공단
서문시장건해산물상가,상설장,대구광역시 중구 큰장로 26안길5,대구광역시 중구 대신동 265-5,매일,35.8681669,128.5794789,80.0,"후니건어물, 호성상회, 형제상회, 현풍상회",,,Y,Y,1970.0,053-254-7800,2025-11-10,B553077,소상공인시장진흥공단
동산상가시장,상설장,대구광역시 중구 큰장로26길 65,대구광역시 중구 대신동 115-30,매일,35.86895745,128.5817199,844.0,"푸드스토리, 와플, 노점(진석수산), 힐인테리어",,,Y,Y,1970.0,053-257-3562,2025-11-10,B553077,소상공인시장진흥공단
명품프라자상가시장,상설장,대구광역시 중구 큰장로 28길 27,대구광역시 중구 대신동 115-112,매일,35.86990532,128.5809084,118.0,"모모마켓, 헤브론침구, 플리츠엔경, 토마토",,,Y,Y,1970.0,053-256-0023,2025-11-10,B553077,소상공인시장진흥공단
약령시장,상설장,대구광역시 중구 남성로 27-1,대구광역시 중구 남성로 52-2,매일,35.86812814,128.5899293,241.0,"흥생약업사, 한씨네 대가 추어탕, 종로꼬마김밥, 연수당약업사",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
번개시장,상설장,대구광역시 중구 태평로 177-3,대구광역시 중구 태평로1가 1-152,매일,35.87508428,128.5981288,104.0,"현주상회, 현대식육점, 현대상회, 해금농산",,,Y,Y,1970.0,053-423-3460,2025-11-10,B553077,소상공인시장진흥공단
중앙시장,상설장,대구광역시 중구 경상감영길101,대구광역시 중구 포정동 21-3,매일,35.87237538,128.5931143,30.0,"합천식당, 팔공축산(태전점), 통영굴뚝배기, 태전농산",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
법동시장,상설장,대전광역시 대덕구 계족로608번길 23,대전광역시 대덕구 법동 200-7,매일,36.36622183,127.4315773,66.0,"한빛민속떡집, 한밭유통, 한돈구이촌, 하나축산",,,Y,Y,1970.0,043-627-2123,2025-11-10,B553077,소상공인시장진흥공단
신탄진시장,5일장,대전광역시 대덕구 석봉로43번길 37,대전광역시 대덕구 석봉동 417-43,3일+8일,36.44915618,127.4265148,135.0,"현호상회, 하나정육점, 피나치공신탄진, 참도너츠",,,Y,Y,1970.0,042-935-9195,2025-11-10,B553077,소상공인시장진흥공단
송촌시장,상설장,대전광역시 대덕구 동춘당로 83,대전광역시 대덕구 송촌동 476-1,매일,36.36463844,127.439864,35.0,"현숙소라우렁쌈밥, 창성한우, 창성축산물직판장, 장호덕손만두(송촌점)",,,Y,Y,1970.0,042-621-5520,2025-11-10,B553077,소상공인시장진흥공단
중리시장,상설장,대전광역시 대덕구 중리북로31번길 26,대전광역시 대덕구 중리동 372-6,매일,36.3655916,127.4263925,171.0,"후생사정육코너, 후생사 수산, 효자네숯불통오리, 황실민물장어",,,Y,Y,1970.0,042-623-1040,2025-11-10,B553077,소상공인시장진흥공단
가평잣고을시장,5일장,경기도 가평군 가평읍 장터2길 12,경기도 가평군 가평읍 읍내리 405,5일+10일,37.82972123,127.5148873,116.0,"해광은갈치, 할머니 손순대, 풍성장터, 추억의분식",,,Y,Y,1970.0,031-582-8181,2025-11-10,B553077,소상공인시장진흥공단
중앙종합시장,상설장,대전광역시 동구 중교로 119,대전광역시 동구 원동 65-7,매일,36.32858655,127.4322049,76.0,"홍을래튀김, 호떡, 판암생선, 장군님닭",,,Y,Y,1970.0,042-257-3713,2025-11-10,B553077,소상공인시장진흥공단
전기조명관시장,상설장,대구광역시 북구 유통단지로 50,대구광역시 북구 산격동 1666,매일,35.90569574,128.6082699,86.0,"효성전기조명, 세신엘이디조명, 성아조명, 매일조명전기",,,Y,Y,1970.0,053-604-6114,2025-11-10,B553077,소상공인시장진흥공단
산격종합시장,상설장,대구광역시 북구 대동로1길 34,대구광역시 북구 산격동 1258,매일,35.8986391,128.6103422,160.0,"혜인떡집, 포항수산, 코레와카레, 청송식당",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
산업용재관시장,상설장,대구광역시 북구 유통단지로 16,대구광역시 북구 산격동 1629,매일,35.90497291,128.6063945,1038.0,"진주식당, 정하네, 장군돈까스, 연산식당",,,Y,Y,1970.0,053-604-0700,2025-11-10,B553077,소상공인시장진흥공단
섬유제품관시장,상설장,대구광역시 북구 유통단지로 60,대구광역시 북구 산격동 1667,매일,35.90628079,128.6096663,699.0,"집밥2, 꼬부랑할머니첫째, 꼬부랑할머니첫째, 희룡",,,Y,Y,1970.0,053-601-1500,2025-11-10,B553077,소상공인시장진흥공단
전기재료관시장,상설장,대구광역시 북구 유통단지로 38,대구광역시 북구 산격동 1665,매일,35.90506337,128.6077144,198.0,"토담집, 희성전기, 한신종합에프에이상사, 풍한전기상사",,,Y,Y,1970.0,053-604-4114,2025-11-10,B553077,소상공인시장진흥공단
전자관시장,상설장,대구광역시 북구 유통단지로 45,대구광역시 북구 산격동 1621,매일,35.90720316,128.6070266,360.0,"주식회사 승익 노비아갈라 전자관점, 수경집밥, 모두의밥상, 호원유통",,,Y,Y,1970.0,053-604-2000,2025-11-10,B553077,소상공인시장진흥공단
전자상가시장,상설장,대구광역시 북구 유통단지로 25,대구광역시 북구 산격동 1626,매일,35.90545132,128.6049864,369.0,"홍익컴퓨터, 현대전산시스템, 컴넷정보시스템, 청우컴퓨터",,,Y,Y,1970.0,053-604-2011,2025-11-10,B553077,소상공인시장진흥공단
서변중앙시장,5일장,대구광역시 북구 호국로43길 27,대구광역시 북구 서변동 1751,2일+7일,35.92100516,128.596183,59.0,"한동과자, 토토루치킨, 최고당, 주식회사 제철삼촌",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
봉평전통시장(봉평시장),5일장,강원특별자치도 평창군 봉평면 허생원장터길15,강원특별자치도 평창군 봉평면 창동리 397-34,2일+7일,37.61558646,128.3772728,70.0,"현대막국수, 페리카나치킨, 충주집소머리국밥, 진주상회2호점",,,Y,Y,1970.0,033-336-3369,2025-11-10,B553077,소상공인시장진흥공단
대구능금시장,상설장,대구광역시 북구 칠성남로 197-15,대구광역시 북구 칠성동1가 234-9,매일,35.87715081,128.6019682,120.0,"효성농산, 협성상회, 풍림, 평천상회",,,Y,Y,1970.0,053-424-8510,2025-11-10,B553077,소상공인시장진흥공단
대구청과시장,상설장,대구광역시 북구 칠성시장로 34,대구광역시 북구 칠성동1가 276-102,매일,35.87703471,128.6039146,108.0,"화성상회, 현풍상회, 헬씨테이블, 푸드팜스",,,Y,Y,1970.0,053-255-8707,2025-11-10,B553077,소상공인시장진흥공단
칠성시장,상설장,대구광역시 북구 칠성남로 229,대구광역시 북구 칠성동1가 276-163,매일,35.8763116,128.605428,220.0,"화원식당, 홍도센터, 호야해물, 혜일상회",,,Y,Y,1970.0,053-423-3480,2025-11-10,B553077,소상공인시장진흥공단
칠성본시장,상설장,대구광역시 북구 칠성시장로 15-1,대구광역시 북구 칠성동1가 97-1,매일,35.87551455,128.6043822,80.0,"해정튀김, 해안족발식당, 한양상회, 한양농산",,,Y,Y,1970.0,,2025-11-10,B553077,소상공인시장진흥공단
칠성상가시장,상설장,대구광역시 북구 칠성남로 230,대구광역시 북구 칠성동1가 150-2,매일,35.87561087,128.6053131,54.0,"한마당식육식당, 한마당미트 주식회사, 큰맘할매순대국, 칠성복어",,,Y,Y,1970.0,053-423-3889,2025-11-10,B553077,소상공인시장진흥공단
칠성전자주방시장,상설장,대구광역시 북구 칠성시장로 73-1,대구광역시 북구 칠성동2가 409-711,매일,35.88023823,128.6015542,132.0,"주식회사 대구수산장어유통 칠성점, 서울식당, 삼억전자, 대보유통",,,Y,Y,1970.0,053-422-1481,2025-11-10,B553077,소상공인시장진흥공단
